X_mm,Y_mm,Z_mm,Bx_mT,By_mT,Bz_mT,Magnitud_mT
15.0,15.0,13.0,-0.098,0.0,0.0,0.098
20.0,15.0,13.0,-0.098,0.098,0.0,0.13859292911256332
25.0,15.0,13.0,-0.098,-0.098,0.0,0.13859292911256332
30.0,15.0,13.0,-0.196,-0.196,-0.196,0.3394819582835
35.0,15.0,13.0,-0.196,0.0,0.0,0.196
40.0,15.0,13.0,0.0,-0.098,-0.098,0.13859292911256332
45.0,15.0,13.0,-0.196,0.098,-0.098,0.24004999479275146
50.0,15.0,13.0,-0.098,-0.098,0.0,0.13859292911256332
55.0,15.0,13.0,-0.392,-0.098,-0.098,0.41577878733768997
55.0,20.0,13.0,0.098,0.0,0.0,0.098
50.0,20.0,13.0,-0.098,0.0,-0.196,0.2191346617949794
45.0,20.0,13.0,-0.196,0.0,-0.098,0.2191346617949794
40.0,20.0,13.0,-0.098,-0.098,0.0,0.13859292911256332
35.0,20.0,13.0,-0.196,0.098,-0.098,0.24004999479275146
30.0,20.0,13.0,0.0,0.0,-0.098,0.098
25.0,20.0,13.0,-0.49,0.196,0.392,0.6574039853849382
20.0,20.0,13.0,0.294,0.392,0.98,1.095673308974897
15.0,20.0,13.0,0.098,0.588,0.294,0.6646683383462763
15.0,25.0,13.0,0.0,0.49,0.294,0.5714332856948394
20.0,25.0,13.0,-0.098,0.0,-0.196,0.2191346617949794
25.0,25.0,13.0,0.0,0.0,-0.098,0.098
30.0,25.0,13.0,0.098,-0.196,0.0,0.2191346617949794
35.0,25.0,13.0,-0.098,0.0,-0.098,0.13859292911256332
40.0,25.0,13.0,-0.098,0.098,-0.098,0.16974097914175
45.0,25.0,13.0,-0.196,0.0,-0.098,0.2191346617949794
50.0,25.0,13.0,0.0,-0.098,0.0,0.098
55.0,25.0,13.0,0.098,0.0,-0.098,0.13859292911256332
55.0,30.0,13.0,-0.098,-0.098,0.0,0.13859292911256332
50.0,30.0,13.0,0.0,0.0,-0.098,0.098
45.0,30.0,13.0,0.0,-0.098,0.0,0.098
40.0,30.0,13.0,0.0,0.0,-0.098,0.098
35.0,30.0,13.0,0.098,0.098,-0.098,0.16974097914175
30.0,30.0,13.0,0.098,-0.098,0.0,0.13859292911256332
25.0,30.0,13.0,-0.098,0.098,-0.098,0.16974097914175
20.0,30.0,13.0,0.098,0.098,-0.196,0.24004999479275146
15.0,30.0,13.0,-0.098,-0.196,0.0,0.2191346617949794
15.0,35.0,13.0,0.196,-0.196,-0.196,0.3394819582835
20.0,35.0,13.0,-0.098,0.0,-0.196,0.2191346617949794
25.0,35.0,13.0,0.0,-0.098,-0.098,0.13859292911256332
30.0,35.0,13.0,-0.098,-0.098,-0.098,0.16974097914175
35.0,35.0,13.0,-0.098,-0.196,-0.196,0.29400000000000004
40.0,35.0,13.0,-0.196,-0.098,0.098,0.24004999479275146
45.0,35.0,13.0,0.0,0.0,0.0,0.0
50.0,35.0,13.0,0.0,0.0,0.098,0.098
55.0,35.0,13.0,-0.098,-0.098,-0.098,0.16974097914175
55.0,40.0,13.0,-0.098,-0.098,-0.098,0.16974097914175
50.0,40.0,13.0,-0.098,-0.098,0.0,0.13859292911256332
45.0,40.0,13.0,-0.098,-0.098,-0.196,0.24004999479275146
40.0,40.0,13.0,-0.098,-0.098,-0.098,0.16974097914175
35.0,40.0,13.0,-0.098,-0.098,-0.098,0.16974097914175
30.0,40.0,13.0,0.0,0.0,-0.098,0.098
25.0,40.0,13.0,0.0,0.0,0.0,0.0
20.0,40.0,13.0,0.0,-0.098,-0.196,0.2191346617949794
15.0,40.0,13.0,-0.098,0.0,-0.098,0.13859292911256332
15.0,45.0,13.0,-0.196,0.0,-0.098,0.2191346617949794
20.0,45.0,13.0,-0.098,0.098,-0.196,0.24004999479275146
25.0,45.0,13.0,0.0,0.098,-0.196,0.2191346617949794
30.0,45.0,13.0,-0.098,0.0,-0.098,0.13859292911256332
35.0,45.0,13.0,-0.196,-0.098,0.0,0.2191346617949794
40.0,45.0,13.0,0.098,0.0,-0.196,0.2191346617949794
45.0,45.0,13.0,0.0,-0.098,0.098,0.13859292911256332
50.0,45.0,13.0,-0.098,0.098,-0.098,0.16974097914175
55.0,45.0,13.0,0.0,0.0,-0.098,0.098
55.0,50.0,13.0,-0.098,-0.196,0.098,0.24004999479275146
50.0,50.0,13.0,-0.098,-0.098,-0.098,0.16974097914175
45.0,50.0,13.0,-0.098,0.098,-0.098,0.16974097914175
40.0,50.0,13.0,-0.196,0.0,-0.098,0.2191346617949794
35.0,50.0,13.0,-0.098,0.0,-0.196,0.2191346617949794
30.0,50.0,13.0,-0.098,-0.098,-0.098,0.16974097914175
25.0,50.0,13.0,-0.196,-0.196,-0.098,0.29400000000000004
20.0,50.0,13.0,0.0,-0.098,-0.098,0.13859292911256332
15.0,50.0,13.0,-0.196,-0.098,-0.098,0.24004999479275146
15.0,55.0,13.0,-0.196,-0.098,-0.098,0.24004999479275146
20.0,55.0,13.0,-0.098,-0.098,-0.098,0.16974097914175
25.0,55.0,13.0,0.0,-0.196,-0.196,0.27718585822512665
30.0,55.0,13.0,0.0,0.0,-0.098,0.098
35.0,55.0,13.0,0.098,-0.098,-0.294,0.32502922945482915
40.0,55.0,13.0,-0.098,0.0,-0.098,0.13859292911256332
45.0,55.0,13.0,-0.196,-0.098,0.0,0.2191346617949794
50.0,55.0,13.0,-0.098,0.0,0.098,0.13859292911256332
55.0,55.0,13.0,-0.098,0.098,0.0,0.13859292911256332
55.0,60.0,13.0,-0.196,0.0,-0.098,0.2191346617949794
